english,catalan,date
Act,actuar,2024-07-25 10:55:08.392634
Add,afegir,2024-07-26 10:55:08.392634
Age,edat,2024-07-27 10:55:08.392634
Aim,objectiu,2024-07-28 10:55:08.392634
Air,aire,2024-07-29 10:55:08.392634
All,tots,2024-07-30 10:55:08.392634
And,i,2024-07-31 10:55:08.392634
Ant,formiga,2024-08-01 10:55:08.392634
Any,cap,2024-08-02 10:55:08.392634
Ask,preguntar,2024-08-03 10:55:08.392634
Bad,dolent,2024-08-04 10:55:08.392634
Big,gran,2024-08-05 10:55:08.392634
Buy,comprar,2024-08-06 10:55:08.392634
Cry,plorar,2024-08-07 10:55:08.392634
Dam,presa,2024-08-08 10:55:08.392634
Die,morir,2024-08-09 10:55:08.392634
Dry,sec,2024-08-10 10:55:08.392634
End,final,2024-08-11 10:55:08.392634
Ear,orella,2024-08-12 10:55:08.392634
Eat,menjar,2024-08-13 10:55:08.392634
Egg,ou,2024-08-14 10:55:08.392634
Eye,ull,2024-08-15 10:55:08.392634
Fat,greix,2024-08-16 10:55:08.392634
Fly,volar,2024-08-17 10:55:08.392634
Fun,diversió,2024-08-18 10:55:08.392634
Get,aconseguir,2024-08-19 10:55:08.392634
God,Déu,2024-08-20 10:55:08.392634
Hen,gallina,2024-08-21 10:55:08.392634
Hot,calent,2024-08-22 10:55:08.392634
Job,feina,2024-08-23 10:55:08.392634
Leg,cama,2024-08-24 10:55:08.392634
Lie,mentida,2024-08-25 10:55:08.392634
Low,baix,2024-08-26 10:55:08.392634
Mad,boig,2024-08-27 10:55:08.392634
Man,home,2024-08-28 10:55:08.392634
Not,no,2024-08-29 10:55:08.392634
Now,ara,2024-08-30 10:55:08.392634
New,nou,2024-08-31 10:55:08.392634
Old,vell,2024-09-01 10:55:08.392634
Own,propi,2024-09-02 10:55:08.392634
Run,correr,2024-09-03 10:55:08.392634
Sad,trist,2024-09-04 10:55:08.392634
Sea,mar,2024-09-05 10:55:08.392634
See,veure,2024-09-06 10:55:08.392634
Shy,tímid,2024-09-07 10:55:08.392634
Sit,seure,2024-09-08 10:55:08.392634
Sum,suma,2024-09-09 10:55:08.392634
Sun,sol,2024-09-10 10:55:08.392634
Tax,impost,2024-09-11 10:55:08.392634
Try,provar,2024-09-12 10:55:08.392634
Use,utilitzar,2024-09-13 10:55:08.392634
War,guerra,2024-09-14 10:55:08.392634
Wet,humit,2024-09-15 10:55:08.392634
Why,Per què,2024-09-16 10:55:08.392634
Win,guanyar,2024-09-17 10:55:08.392634
Yes,sí,2024-09-18 10:55:08.392634
You,vostè,2024-09-19 10:55:08.392634
Also,també,2024-09-20 10:55:08.392634
Baby,nadó,2024-09-21 10:55:08.392634
Back,esquena,2024-09-22 10:55:08.392634
Bake,enfornar,2024-09-23 10:55:08.392634
Bald,calb,2024-09-24 10:55:08.392634
Ball,pilota,2024-09-25 10:55:08.392634
Bark,escorça,2024-09-26 10:55:08.392634
Bath,bany,2024-09-27 10:55:08.392634
Beet,remolatxa,2024-09-28 10:55:08.392634
Bend,doblegar,2024-09-29 10:55:08.392634
Best,millor,2024-09-30 10:55:08.392634
Bird,ocell,2024-10-01 10:55:08.392634
Bold,agosarat,2024-10-02 10:55:08.392634
Bone,os,2024-10-03 10:55:08.392634
Book,llibre,2024-10-04 10:55:08.392634
Born,nascut,2024-10-05 10:55:08.392634
Both,tots dos,2024-10-06 10:55:08.392634
Busy,ocupada,2024-10-07 10:55:08.392634
Call,anomenada,2024-10-08 10:55:08.392634
Calm,calma,2024-10-09 10:55:08.392634
Care,cura,2024-10-10 10:55:08.392634
Come,vine,2024-10-11 10:55:08.392634
Cost,cost,2024-10-12 10:55:08.392634
Cute,bonic,2024-10-13 10:55:08.392634
Crow,Corb,2024-10-14 10:55:08.392634
Dare,atrevir-se,2024-10-15 10:55:08.392634
Dark,fosc,2024-10-16 10:55:08.392634
Date,data,2024-10-17 10:55:08.392634
Deal,acord,2024-10-18 10:55:08.392634
Diet,dieta,2024-10-19 10:55:08.392634
Dish,plat,2024-10-20 10:55:08.392634
Door,porta,2024-10-21 10:55:08.392634
Down,cap avall,2024-10-22 10:55:08.392634
Dust,pols,2024-10-23 10:55:08.392634
Each,cadascun,2024-10-24 10:55:08.392634
Earn,guanyar,2024-10-25 10:55:08.392634
Easy,fàcil,2024-10-26 10:55:08.392634
Edge,vora,2024-10-27 10:55:08.392634
Evil,dolent,2024-10-28 10:55:08.392634
Exit,sortida,2024-10-29 10:55:08.392634
Face,cara,2024-10-30 10:55:08.392634
Fact,fet,2024-10-31 10:55:08.392634
Fair,Fira,2024-11-01 10:55:08.392634
Fake,fals,2024-11-02 10:55:08.392634
Farm,granja,2024-11-03 10:55:08.392634
Fast,ràpid,2024-11-04 10:55:08.392634
Fear,por,2024-11-05 10:55:08.392634
Feel,sentir,2024-11-06 10:55:08.392634
Find,trobar,2024-11-07 10:55:08.392634
Need,necessitat,2024-11-08 10:55:08.392634
Next,Pròxim,2024-11-09 10:55:08.392634
Only,només,2024-11-10 10:55:08.392634
Pain,dolor,2024-11-11 10:55:08.392634
Pair,parella,2024-11-12 10:55:08.392634
Park,parc,2024-11-13 10:55:08.392634
Path,Camí,2024-11-14 10:55:08.392634
Play,jugar,2024-11-15 10:55:08.392634
Poor,pobre,2024-11-16 10:55:08.392634
Pull,estirar,2024-11-17 10:55:08.392634
Pure,pur,2024-11-18 10:55:08.392634
